item_name,normalized_name,quantity,unit_price,total_price,category,store_name,purchase_date
eggs,eggs,1,4.98,4.98,protein,Publix,2026-03-09
milk,milk,1,4.11,4.11,dairy,Publix,2026-03-09
cheese,cheese,2,5.1,10.2,dairy,Publix,2026-03-09
yogurt,yogurt,2,6.02,12.04,dairy,Publix,2026-03-09
onion,onion,2,1.24,2.48,vegetable,Publix,2026-03-09
garlic,garlic,2,0.74,1.48,vegetable,Publix,2026-03-09
potato,potato,2,0.97,1.94,vegetable,Publix,2026-03-09
carrot,carrot,1,2.43,2.43,vegetable,Publix,2026-03-09
spinach,spinach,1,4.39,4.39,vegetable,Publix,2026-03-09
lettuce,lettuce,1,2.28,2.28,vegetable,Publix,2026-03-09
banana,banana,5,0.27,1.35,fruit,Publix,2026-03-09
apple,apple,5,1.38,6.9,fruit,Publix,2026-03-09
lemon,lemon,2,0.74,1.48,fruit,Publix,2026-03-09
avocado,avocado,4,2.29,9.16,fruit,Publix,2026-03-09
tomato,tomato,3,1.22,3.66,fruit,Publix,2026-03-09
bread,bread,1,4.18,4.18,grain,Publix,2026-03-09
orange juice,orange juice,1,3.81,3.81,beverage,Publix,2026-03-09
ground beef,ground beef,1,7.87,7.87,protein,Publix,2026-03-09
pasta,pasta,1,1.78,1.78,grain,Publix,2026-03-09
sour cream,sour cream,1,3.45,3.45,dairy,Publix,2026-03-09
rice,rice,1,5.12,5.12,grain,Publix,2026-03-09
heavy cream,heavy cream,1,3.96,3.96,dairy,Publix,2026-03-09
mushroom,mushroom,1,2.95,2.95,vegetable,Publix,2026-03-09
black pepper,black pepper,1,4.8,4.8,spice,Publix,2026-03-09
trail mix,trail mix,1,6.09,6.09,snack,Publix,2026-03-09
