item_name,normalized_name,quantity,unit_price,total_price,category,store_name,purchase_date
yogurt,yogurt,2,4.61,9.22,dairy,Farmers Market,2026-03-01
creamer,creamer,1,7.78,7.78,dairy,Farmers Market,2026-03-01
onion,onion,5,1.58,7.9,vegetable,Farmers Market,2026-03-01
garlic,garlic,2,1.01,2.02,vegetable,Farmers Market,2026-03-01
potato,potato,3,1.26,3.78,vegetable,Farmers Market,2026-03-01
carrot,carrot,1,1.79,1.79,vegetable,Farmers Market,2026-03-01
celery,celery,1,2.43,2.43,vegetable,Farmers Market,2026-03-01
broccoli,broccoli,1,2.8,2.8,vegetable,Farmers Market,2026-03-01
spinach,spinach,1,3.57,3.57,vegetable,Farmers Market,2026-03-01
bell pepper,bell pepper,3,1.18,3.54,vegetable,Farmers Market,2026-03-01
cucumber,cucumber,2,1.5,3.0,vegetable,Farmers Market,2026-03-01
banana,banana,4,0.39,1.56,fruit,Farmers Market,2026-03-01
apple,apple,5,1.51,7.55,fruit,Farmers Market,2026-03-01
orange,orange,4,0.84,3.36,fruit,Farmers Market,2026-03-01
lemon,lemon,4,1.07,4.28,fruit,Farmers Market,2026-03-01
avocado,avocado,3,2.22,6.66,fruit,Farmers Market,2026-03-01
lime,lime,3,0.63,1.89,fruit,Farmers Market,2026-03-01
pasta,pasta,2,2.74,5.48,grain,Farmers Market,2026-03-01
crackers,crackers,1,5.11,5.11,grain,Farmers Market,2026-03-01
mayonnaise,mayonnaise,1,5.73,5.73,condiment,Farmers Market,2026-03-01
salsa,salsa,1,4.83,4.83,condiment,Farmers Market,2026-03-01
tomato sauce,tomato sauce,2,3.37,6.74,condiment,Farmers Market,2026-03-01
orange juice,orange juice,1,5.75,5.75,beverage,Farmers Market,2026-03-01
