item_name,normalized_name,quantity,unit_price,total_price,category,store_name,purchase_date
eggs,eggs,1,3.99,3.99,protein,Publix,2026-03-16
milk,milk,1,4.49,4.49,dairy,Publix,2026-03-16
cheese,cheese,1,3.59,3.59,dairy,Publix,2026-03-16
yogurt,yogurt,3,4.82,14.46,dairy,Publix,2026-03-16
creamer,creamer,1,5.79,5.79,dairy,Publix,2026-03-16
onion,onion,3,1.21,3.63,vegetable,Publix,2026-03-16
garlic,garlic,3,0.56,1.68,vegetable,Publix,2026-03-16
potato,potato,4,0.87,3.48,vegetable,Publix,2026-03-16
carrot,carrot,1,2.0,2.0,vegetable,Publix,2026-03-16
spinach,spinach,1,3.91,3.91,vegetable,Publix,2026-03-16
lettuce,lettuce,1,2.7,2.7,vegetable,Publix,2026-03-16
banana,banana,4,0.29,1.16,fruit,Publix,2026-03-16
apple,apple,3,1.48,4.44,fruit,Publix,2026-03-16
lemon,lemon,4,0.64,2.56,fruit,Publix,2026-03-16
avocado,avocado,4,2.34,9.36,fruit,Publix,2026-03-16
tomato,tomato,3,1.17,3.51,fruit,Publix,2026-03-16
bread,bread,1,4.92,4.92,grain,Publix,2026-03-16
orange juice,orange juice,1,4.93,4.93,beverage,Publix,2026-03-16
crackers,crackers,1,3.25,3.25,grain,Publix,2026-03-16
chips,chips,2,3.29,6.58,snack,Publix,2026-03-16
cucumber,cucumber,1,0.81,0.81,vegetable,Publix,2026-03-16
strawberry,strawberry,1,3.37,3.37,fruit,Publix,2026-03-16
sparkling water,sparkling water,2,4.62,9.24,beverage,Publix,2026-03-16
cream cheese,cream cheese,1,3.11,3.11,dairy,Publix,2026-03-16
sausage,sausage,1,5.02,5.02,protein,Publix,2026-03-16
