item_name,normalized_name,quantity,unit_price,total_price,category,store_name,purchase_date
chicken breast,chicken breast,2,9.59,19.18,protein,Publix,2026-02-23
eggs,eggs,2,3.79,7.58,protein,Publix,2026-02-23
milk,milk,1,3.62,3.62,dairy,Publix,2026-02-23
cheese,cheese,1,4.96,4.96,dairy,Publix,2026-02-23
yogurt,yogurt,1,5.46,5.46,dairy,Publix,2026-02-23
creamer,creamer,1,4.67,4.67,dairy,Publix,2026-02-23
onion,onion,2,0.95,1.9,vegetable,Publix,2026-02-23
garlic,garlic,1,0.92,0.92,vegetable,Publix,2026-02-23
potato,potato,2,1.05,2.1,vegetable,Publix,2026-02-23
carrot,carrot,1,2.09,2.09,vegetable,Publix,2026-02-23
lettuce,lettuce,1,2.8,2.8,vegetable,Publix,2026-02-23
banana,banana,8,0.31,2.48,fruit,Publix,2026-02-23
lemon,lemon,2,0.88,1.76,fruit,Publix,2026-02-23
avocado,avocado,3,1.52,4.56,fruit,Publix,2026-02-23
tomato,tomato,3,1.22,3.66,fruit,Publix,2026-02-23
orange juice,orange juice,1,4.34,4.34,beverage,Publix,2026-02-23
ground beef,ground beef,2,8.45,16.9,protein,Publix,2026-02-23
crackers,crackers,1,4.0,4.0,grain,Publix,2026-02-23
blueberry,blueberry,1,3.64,3.64,fruit,Publix,2026-02-23
pasta,pasta,2,2.25,4.5,grain,Publix,2026-02-23
butter,butter,1,4.49,4.49,dairy,Publix,2026-02-23
mushroom,mushroom,1,3.29,3.29,vegetable,Publix,2026-02-23
granola,granola,1,5.04,5.04,grain,Publix,2026-02-23
sour cream,sour cream,1,2.85,2.85,dairy,Publix,2026-02-23
cucumber,cucumber,1,1.1,1.1,vegetable,Publix,2026-02-23
